Temperature (°C),pH,Dissolved O2 (mg/L),BOD (mg/L),Conductivity (µS/cm),Salinity (ppt),Nitrate-N Concentration (mg/L),Bioremediating Organism
20.91,7.74,6.56,5.64,430.03,2.56,7.28,Bacillus cereus
28.01,7.18,7.77,5.11,375.62,1.78,12.06,Pseudomonas aeruginosa
24.66,6.98,6.04,3.35,338.91,2.22,12.84,Bacillus cereus
26.12,6.62,8.66,2.81,804.36,1.34,21.01,Acinetobacter baumannii
23.64,7.46,7.56,4.41,145.31,3.76,12.62,Pseudomonas putida
21.86,7.02,10.66,1.32,222.35,3.9,14.34,Pseudomonas putida
24.42,6.88,9.7,4.46,240.45,2.2,9.64,Bacillus cereus
26.38,7.1,6.78,12.13,417.53,0.06,10.38,Alcaligenes eutrophus
20.15,8.96,8.74,9.96,667.99,0.45,2.07,Alcaligenes eutrophus
21.04,7.23,10.37,7.1,274.84,2.75,12.76,Bacillus cereus
24.13,7.3,6.49,2.8,132.12,0.81,3.93,Alcaligenes eutrophus
20.8,6.52,9.17,4.0,276.02,4.44,15.19,Ideonella sakaiensis
28.11,7.05,8.47,5.96,114.98,0.9,2.18,Alcaligenes eutrophus
28.38,7.4,10.82,3.33,348.63,4.33,1.49,Ideonella sakaiensis
27.23,8.94,7.25,6.78,781.99,1.29,18.34,Pseudomonas aeruginosa
22.2,7.67,8.65,9.48,462.32,2.28,17.43,Bacillus cereus
26.75,7.14,6.46,7.3,560.39,1.99,27.03,Pseudomonas aeruginosa
23.17,7.97,6.83,6.32,446.03,2.72,14.83,Bacillus cereus
24.28,7.51,9.21,9.36,155.17,2.56,14.72,Bacillus cereus
22.25,7.15,8.96,3.35,372.55,4.13,0.75,Ideonella sakaiensis
26.14,6.64,13.49,4.83,741.61,2.0,28.86,Acinetobacter baumannii
23.33,7.35,12.2,4.02,659.54,1.33,30.24,Acinetobacter baumannii
27.23,7.46,13.52,5.83,591.44,1.69,32.14,Acinetobacter baumannii
23.95,6.96,8.51,4.41,882.97,1.66,29.09,Acinetobacter baumannii
21.66,8.51,7.72,3.53,129.85,0.8,0.83,Alcaligenes eutrophus
24.06,7.64,7.66,8.65,420.71,2.47,23.7,Bacillus cereus
24.76,7.25,8.17,9.81,449.14,4.25,19.45,Ideonella sakaiensis
27.68,7.27,9.64,3.11,990.21,1.2,16.53,Acinetobacter baumannii
24.11,7.13,5.48,2.03,236.85,0.01,7.55,Alcaligenes eutrophus
21.82,7.73,9.27,3.99,486.44,2.08,7.55,Bacillus cereus
21.29,7.46,8.16,8.76,221.23,2.06,14.08,Bacillus cereus
26.39,7.47,5.73,10.5,427.63,0.1,15.62,Pseudomonas aeruginosa
22.15,7.09,8.2,2.66,564.06,1.15,17.38,Acinetobacter baumannii
23.67,6.96,7.47,9.33,357.81,2.33,24.29,Bacillus cereus
25.21,8.99,8.36,14.11,715.45,1.26,23.17,Pseudomonas aeruginosa
20.18,6.86,8.13,3.3,226.51,3.68,13.62,Pseudomonas putida
21.37,6.38,10.6,3.07,127.45,3.67,14.85,Pseudomonas putida
26.28,8.64,5.89,14.36,700.95,0.39,24.59,Pseudomonas aeruginosa
29.02,7.7,6.02,12.59,537.27,1.65,17.33,Pseudomonas aeruginosa
25.41,8.83,9.87,14.69,708.33,1.17,18.64,Pseudomonas aeruginosa
23.62,7.37,9.03,6.37,968.69,0.33,33.5,Acinetobacter baumannii
28.25,7.53,5.65,10.52,587.75,1.16,17.78,Pseudomonas aeruginosa
23.73,6.61,9.18,7.96,303.84,4.46,7.51,Ideonella sakaiensis
22.07,8.81,5.98,13.26,310.55,0.33,13.47,Alcaligenes eutrophus
22.27,8.75,10.71,1.68,430.2,0.01,9.36,Alcaligenes eutrophus
22.29,7.09,7.61,7.65,305.02,2.01,9.31,Bacillus cereus
23.22,7.28,8.55,4.75,330.59,3.86,13.81,Pseudomonas putida
24.91,6.89,10.99,9.79,412.0,2.88,14.65,Bacillus cereus
24.24,8.95,7.17,13.95,417.42,0.52,14.79,Alcaligenes eutrophus
28.74,8.61,8.83,8.9,272.1,0.31,9.3,Alcaligenes eutrophus
26.5,6.97,8.1,4.14,260.83,4.11,10.1,Ideonella sakaiensis
22.38,7.4,10.34,9.83,497.67,4.76,4.14,Ideonella sakaiensis
26.75,7.47,11.68,10.42,117.18,0.31,14.14,Alcaligenes eutrophus
22.22,6.21,11.38,1.96,305.28,3.56,14.59,Pseudomonas putida
20.29,6.84,10.15,6.63,452.63,1.79,25.63,Acinetobacter baumannii
22.03,7.69,6.29,3.07,208.15,2.89,21.49,Bacillus cereus
28.44,8.03,11.54,11.57,172.25,0.81,10.94,Alcaligenes eutrophus
20.03,7.71,6.07,8.82,230.44,0.78,0.78,Alcaligenes eutrophus
26.76,7.2,8.86,6.32,522.65,2.32,32.69,Acinetobacter baumannii
25.96,7.04,11.43,4.96,266.09,4.84,12.39,Ideonella sakaiensis
25.28,6.59,13.67,9.63,316.96,4.36,10.93,Ideonella sakaiensis
22.9,6.91,9.36,4.17,496.66,2.01,10.62,Bacillus cereus
22.79,7.58,7.97,3.32,250.86,2.64,20.5,Bacillus cereus
22.76,6.6,7.74,4.9,417.35,2.71,15.55,Bacillus cereus
24.57,6.4,7.31,2.44,148.02,3.76,14.55,Pseudomonas putida
26.42,8.39,5.43,10.51,499.3,1.49,29.81,Pseudomonas aeruginosa
21.65,7.03,9.81,8.87,231.37,0.38,9.68,Alcaligenes eutrophus
26.4,7.0,8.69,3.57,555.55,2.07,19.28,Acinetobacter baumannii
27.05,6.74,10.23,2.93,318.66,4.65,13.29,Ideonella sakaiensis
29.1,6.66,13.59,4.08,405.93,4.48,17.18,Ideonella sakaiensis
28.31,7.01,6.01,7.53,382.62,0.22,23.72,Pseudomonas aeruginosa
22.15,7.11,11.48,2.15,217.03,3.84,13.22,Pseudomonas putida
23.58,6.98,10.12,6.24,963.09,1.82,29.09,Acinetobacter baumannii
29.78,8.49,5.8,8.01,325.19,0.46,8.85,Alcaligenes eutrophus
22.52,7.54,9.72,9.64,342.12,2.89,14.27,Bacillus cereus
28.06,7.13,5.37,5.86,530.14,0.15,8.81,Alcaligenes eutrophus
22.74,6.11,10.65,2.62,132.04,3.57,12.48,Pseudomonas putida
22.67,6.34,8.85,1.61,179.17,3.87,14.41,Pseudomonas putida
28.22,7.47,9.36,12.85,714.9,1.01,28.44,Pseudomonas aeruginosa
23.52,7.24,12.85,8.02,330.53,4.54,19.84,Ideonella sakaiensis
25.51,8.12,5.97,11.37,787.78,0.73,20.88,Pseudomonas aeruginosa
26.33,7.11,9.52,7.48,476.76,1.68,18.78,Pseudomonas aeruginosa
29.03,7.41,9.73,2.82,249.16,4.9,12.86,Ideonella sakaiensis
22.24,7.03,7.2,3.41,387.21,3.51,12.15,Pseudomonas putida
24.08,7.3,10.1,2.62,279.13,3.85,14.52,Pseudomonas putida
27.43,7.24,11.23,2.59,452.5,2.03,15.23,Acinetobacter baumannii
23.9,6.59,9.3,4.83,277.16,3.94,13.94,Pseudomonas putida
24.96,8.0,6.9,4.7,183.28,2.45,18.42,Bacillus cereus
20.99,7.17,7.54,7.31,284.49,2.57,20.5,Bacillus cereus
24.27,8.55,9.6,11.73,496.29,0.39,11.16,Alcaligenes eutrophus
28.66,8.65,9.24,4.06,680.67,1.91,13.9,Pseudomonas aeruginosa
22.27,7.25,7.19,8.21,179.23,2.23,15.37,Bacillus cereus
21.5,8.35,8.85,4.13,439.86,0.63,9.61,Alcaligenes eutrophus
22.65,6.83,9.96,5.59,502.83,2.39,23.52,Acinetobacter baumannii
22.72,6.59,13.79,2.61,981.45,2.03,25.26,Acinetobacter baumannii
24.74,6.88,10.97,5.38,264.29,2.88,14.55,Bacillus cereus
21.5,6.92,7.54,5.5,428.79,2.06,5.6,Bacillus cereus
26.75,7.05,13.62,7.25,270.29,4.51,5.54,Ideonella sakaiensis
20.6,7.29,10.78,5.74,938.76,0.78,23.94,Acinetobacter baumannii
21.05,8.56,5.28,6.18,224.7,0.94,9.17,Alcaligenes eutrophus
26.47,8.32,11.64,1.12,586.25,0.47,2.23,Alcaligenes eutrophus
20.74,6.04,11.03,1.21,307.58,3.59,12.23,Pseudomonas putida
22.42,6.61,7.55,3.04,117.02,3.57,12.32,Pseudomonas putida
26.33,7.05,12.83,6.12,222.59,4.29,19.74,Ideonella sakaiensis
23.78,6.72,8.65,4.0,294.19,4.08,0.87,Ideonella sakaiensis
23.98,7.96,5.58,11.48,675.01,0.18,14.75,Alcaligenes eutrophus
20.47,7.06,11.02,2.0,299.3,3.78,12.82,Pseudomonas putida
29.78,7.64,9.84,11.66,776.73,1.73,27.78,Pseudomonas aeruginosa
26.96,7.81,6.96,6.07,345.65,1.05,23.89,Pseudomonas aeruginosa
27.27,7.36,5.0,12.57,348.5,0.5,19.34,Pseudomonas aeruginosa
21.96,6.75,8.13,6.25,435.83,1.19,20.28,Acinetobacter baumannii
22.19,8.0,7.42,5.27,281.51,2.78,10.07,Bacillus cereus
26.11,7.71,9.99,2.54,136.14,0.12,5.96,Alcaligenes eutrophus
22.16,7.25,7.18,5.83,336.12,2.4,9.92,Bacillus cereus
25.45,6.54,13.23,5.47,661.08,1.1,27.38,Acinetobacter baumannii
25.37,6.98,9.31,6.63,787.2,0.25,24.02,Acinetobacter baumannii
21.35,6.8,6.6,8.61,351.01,2.0,8.08,Bacillus cereus
25.15,6.67,10.09,5.41,772.77,1.18,27.55,Acinetobacter baumannii
20.9,7.62,8.45,9.86,191.46,2.18,7.33,Bacillus cereus
29.51,6.61,12.96,2.51,569.67,4.69,18.74,Ideonella sakaiensis
23.64,6.33,10.02,3.42,297.95,3.58,13.76,Pseudomonas putida
20.51,7.47,6.89,6.83,251.69,2.79,13.39,Bacillus cereus
22.44,6.65,10.8,2.16,991.58,0.2,22.28,Acinetobacter baumannii
21.63,6.67,12.69,4.29,911.32,2.02,21.54,Acinetobacter baumannii
26.67,7.09,5.56,11.54,785.85,0.95,17.24,Pseudomonas aeruginosa
23.22,8.58,9.3,9.31,184.31,0.45,7.03,Alcaligenes eutrophus
21.14,6.37,11.22,1.18,310.6,3.92,14.54,Pseudomonas putida
27.96,7.17,9.55,2.68,524.15,4.31,8.02,Ideonella sakaiensis
28.23,6.86,11.15,6.16,214.17,4.65,7.01,Ideonella sakaiensis
20.91,6.91,8.87,5.9,533.13,4.69,11.14,Ideonella sakaiensis
24.53,6.99,9.84,9.05,468.72,2.43,22.41,Bacillus cereus
24.23,6.77,9.38,3.91,210.36,3.64,13.89,Pseudomonas putida
22.04,6.97,9.98,5.53,869.79,0.46,37.14,Acinetobacter baumannii
23.88,7.11,10.71,2.8,904.26,1.77,26.33,Acinetobacter baumannii
24.04,7.36,8.6,3.14,593.28,0.09,31.67,Acinetobacter baumannii
21.16,6.8,9.76,2.25,275.68,3.71,14.81,Pseudomonas putida
22.01,7.01,10.91,5.35,403.77,2.67,14.56,Bacillus cereus
22.43,7.12,12.6,3.14,499.4,1.7,34.12,Acinetobacter baumannii
20.29,8.09,8.89,11.09,577.27,0.2,11.38,Alcaligenes eutrophus
25.56,7.84,7.62,8.29,456.77,0.45,18.73,Pseudomonas aeruginosa
25.18,6.86,12.52,3.31,887.45,1.71,16.79,Acinetobacter baumannii
26.82,8.78,5.85,5.88,458.38,0.56,17.4,Pseudomonas aeruginosa
24.44,6.81,10.12,4.42,274.62,2.06,19.61,Bacillus cereus
26.39,7.35,9.0,7.95,417.1,0.38,5.7,Alcaligenes eutrophus
22.43,7.38,12.0,6.9,492.43,4.56,6.13,Ideonella sakaiensis
20.27,7.02,9.24,5.59,264.83,2.04,20.52,Bacillus cereus
24.15,7.93,10.89,4.48,408.44,2.02,9.32,Bacillus cereus
24.06,7.29,10.75,2.42,340.34,4.84,12.12,Ideonella sakaiensis
21.4,7.43,11.73,3.47,135.47,3.62,14.89,Pseudomonas putida
27.27,6.61,12.41,4.21,486.32,1.75,27.16,Acinetobacter baumannii
26.75,7.11,5.65,12.46,382.97,0.81,18.9,Pseudomonas aeruginosa
21.02,7.27,8.09,3.64,913.89,1.13,15.33,Acinetobacter baumannii
21.75,6.8,9.38,4.39,416.93,2.72,12.83,Bacillus cereus
27.75,7.32,9.46,10.97,375.45,1.58,21.94,Pseudomonas aeruginosa
27.42,7.12,6.27,8.87,412.58,1.37,24.91,Pseudomonas aeruginosa
21.98,7.92,7.18,4.74,209.37,2.65,16.64,Bacillus cereus
21.44,7.84,8.43,4.93,292.28,2.09,12.63,Bacillus cereus
24.42,7.45,12.33,7.81,462.21,4.3,18.22,Ideonella sakaiensis
22.74,6.56,8.69,6.26,334.42,2.96,10.34,Bacillus cereus
24.36,7.24,7.67,4.68,374.92,3.61,13.7,Pseudomonas putida
21.82,7.25,7.27,2.7,332.7,3.73,12.66,Pseudomonas putida
21.68,7.28,11.94,1.58,295.59,3.65,14.11,Pseudomonas putida
21.98,7.01,9.86,4.24,127.6,3.96,13.33,Pseudomonas putida
24.42,6.96,9.18,4.98,276.49,3.99,14.3,Pseudomonas putida
24.49,7.47,10.68,6.45,155.63,2.85,14.41,Bacillus cereus
29.04,7.21,9.99,9.98,362.8,4.62,18.21,Ideonella sakaiensis
21.22,6.72,11.63,2.76,408.34,0.59,39.51,Acinetobacter baumannii
22.43,7.81,10.4,4.14,271.46,2.34,8.56,Bacillus cereus
24.86,6.55,12.45,5.46,420.83,1.26,37.38,Acinetobacter baumannii
26.98,8.33,7.47,14.45,794.63,0.55,26.3,Pseudomonas aeruginosa
23.9,6.61,11.27,2.45,248.13,3.75,14.9,Pseudomonas putida
25.19,7.22,13.82,3.8,796.33,0.91,38.47,Acinetobacter baumannii
24.37,6.75,10.13,7.12,220.47,4.28,13.85,Ideonella sakaiensis
21.49,6.8,11.33,6.14,861.17,0.06,30.19,Acinetobacter baumannii
27.51,7.72,7.24,3.04,539.67,0.5,6.28,Alcaligenes eutrophus
26.35,7.6,6.6,6.54,469.2,0.07,23.28,Pseudomonas aeruginosa
21.76,6.78,8.28,9.19,309.13,4.07,7.23,Ideonella sakaiensis
21.77,7.55,9.38,9.58,323.09,2.72,16.96,Bacillus cereus
26.17,6.65,12.4,5.89,425.23,4.45,1.68,Ideonella sakaiensis
27.67,6.94,11.11,9.39,223.7,4.17,6.0,Ideonella sakaiensis
22.16,7.31,11.05,2.49,207.0,3.61,12.78,Pseudomonas putida
26.97,7.35,5.89,6.56,617.66,0.59,4.17,Alcaligenes eutrophus
25.38,7.47,10.57,8.61,227.23,4.23,17.98,Ideonella sakaiensis
22.38,7.09,9.51,4.92,488.97,2.05,12.55,Bacillus cereus
23.53,6.09,9.42,3.49,302.92,3.75,12.28,Pseudomonas putida
22.27,7.36,10.03,4.55,909.2,2.05,23.99,Acinetobacter baumannii
20.28,7.14,10.85,3.69,275.93,4.28,12.23,Ideonella sakaiensis
20.09,6.18,11.6,3.67,356.78,3.89,12.94,Pseudomonas putida
23.13,7.46,6.84,7.78,282.05,2.31,13.89,Bacillus cereus
29.85,7.9,8.13,12.79,647.86,0.84,24.73,Pseudomonas aeruginosa
23.61,7.31,8.48,5.96,297.72,2.92,16.62,Bacillus cereus
29.64,6.81,12.56,4.32,395.95,4.3,6.48,Ideonella sakaiensis
26.41,6.94,11.26,7.27,513.12,1.61,21.86,Acinetobacter baumannii
23.15,7.28,11.01,5.18,827.71,1.23,33.63,Acinetobacter baumannii
26.43,6.88,9.09,5.09,498.43,1.71,22.98,Acinetobacter baumannii
25.84,7.84,8.97,5.79,684.9,0.24,14.33,Pseudomonas aeruginosa
24.73,6.76,13.38,5.0,493.94,4.57,5.06,Ideonella sakaiensis
29.63,7.37,9.15,7.06,775.19,0.02,26.54,Pseudomonas aeruginosa
27.61,8.51,5.14,12.58,343.52,1.03,28.47,Pseudomonas aeruginosa
21.63,6.0,8.49,2.19,243.52,3.98,12.97,Pseudomonas putida
20.07,7.4,14.0,4.17,695.43,0.11,24.13,Acinetobacter baumannii
23.93,6.5,12.5,4.32,232.35,4.7,1.77,Ideonella sakaiensis
27.0,8.37,6.39,14.77,599.76,0.19,29.45,Pseudomonas aeruginosa
24.39,6.17,8.35,2.66,296.34,3.61,12.01,Pseudomonas putida
23.2,7.7,7.18,8.21,361.78,2.04,22.45,Bacillus cereus
20.07,7.75,6.89,8.04,281.49,2.89,18.82,Bacillus cereus
21.2,8.91,8.19,10.61,168.78,0.83,12.12,Alcaligenes eutrophus
27.08,8.05,5.5,1.86,367.95,0.2,0.49,Alcaligenes eutrophus
20.61,7.04,6.97,5.02,307.73,2.58,24.53,Bacillus cereus
29.36,7.03,11.5,10.71,582.79,0.48,11.01,Alcaligenes eutrophus
22.55,6.51,10.64,9.35,486.27,2.32,5.71,Bacillus cereus
24.42,6.9,8.86,3.95,262.43,3.64,14.84,Pseudomonas putida
29.48,8.26,9.07,7.44,517.26,1.91,12.77,Pseudomonas aeruginosa
26.64,7.53,8.63,11.59,551.31,0.2,17.04,Pseudomonas aeruginosa
26.7,7.56,5.8,8.93,576.12,1.27,18.95,Pseudomonas aeruginosa
28.59,7.15,6.25,2.87,184.0,0.09,0.05,Alcaligenes eutrophus
24.56,7.51,8.36,8.3,233.82,2.43,11.21,Bacillus cereus
20.76,6.53,11.5,2.9,289.05,4.62,19.86,Ideonella sakaiensis
28.03,6.78,11.0,6.77,562.74,4.72,14.1,Ideonella sakaiensis
24.2,6.7,8.05,1.26,163.43,3.91,14.14,Pseudomonas putida
24.78,7.54,7.22,9.95,434.28,2.45,24.03,Bacillus cereus
20.78,6.61,11.28,6.28,394.53,4.28,18.7,Ideonella sakaiensis
21.09,7.18,9.09,2.05,282.69,3.62,13.89,Pseudomonas putida
27.18,6.61,12.33,5.59,344.25,4.94,1.08,Ideonella sakaiensis
23.18,6.09,9.62,4.75,147.54,3.86,12.05,Pseudomonas putida
22.18,7.1,9.97,5.71,925.37,0.44,24.0,Acinetobacter baumannii
26.7,7.52,5.47,6.2,341.81,0.05,10.72,Pseudomonas aeruginosa
25.99,8.74,8.82,9.24,315.38,1.34,29.73,Pseudomonas aeruginosa
25.43,8.93,8.99,10.78,344.17,0.82,17.55,Pseudomonas aeruginosa
24.53,6.53,10.09,9.62,312.67,2.49,9.39,Bacillus cereus
27.32,6.97,13.2,5.16,425.2,4.9,3.45,Ideonella sakaiensis
23.58,6.4,10.34,3.87,360.98,3.71,13.64,Pseudomonas putida
21.29,6.28,10.44,2.24,383.83,3.88,13.46,Pseudomonas putida
21.24,7.43,12.77,2.14,696.23,1.25,28.49,Acinetobacter baumannii
21.4,7.96,7.95,3.76,204.04,2.02,11.09,Bacillus cereus
20.16,7.72,6.78,5.87,473.7,2.47,22.02,Bacillus cereus
28.67,8.15,7.86,14.85,561.8,0.68,16.33,Pseudomonas aeruginosa
29.51,7.45,9.21,6.82,292.39,4.3,3.29,Ideonella sakaiensis
22.55,7.48,9.92,4.07,176.71,2.79,6.86,Bacillus cereus
20.48,6.55,9.15,4.59,154.61,2.0,5.74,Bacillus cereus
21.45,7.64,10.76,14.85,308.08,0.6,11.13,Alcaligenes eutrophus
27.75,8.1,11.75,8.53,532.4,0.65,4.86,Alcaligenes eutrophus
20.73,6.29,8.79,3.91,398.24,3.69,12.96,Pseudomonas putida
22.15,7.11,7.18,8.97,174.1,2.28,13.04,Bacillus cereus
25.49,6.74,8.55,8.01,427.58,4.7,15.49,Ideonella sakaiensis
23.63,7.3,11.47,3.28,341.37,3.62,12.67,Pseudomonas putida
25.48,7.46,6.42,4.95,603.19,0.52,13.46,Pseudomonas aeruginosa
25.34,6.67,13.41,7.78,968.58,0.53,29.35,Acinetobacter baumannii
20.52,7.21,7.52,6.39,331.88,2.95,11.64,Bacillus cereus
23.14,6.93,9.26,8.56,287.5,4.2,4.04,Ideonella sakaiensis
26.94,8.31,6.36,6.86,707.38,1.7,24.85,Pseudomonas aeruginosa
25.16,7.13,8.99,11.31,553.59,0.32,16.14,Pseudomonas aeruginosa
27.96,6.55,12.9,4.64,662.79,0.32,36.48,Acinetobacter baumannii
21.29,7.19,12.57,2.69,812.6,1.16,24.33,Acinetobacter baumannii
26.01,6.89,8.56,4.84,551.48,0.27,25.87,Acinetobacter baumannii
28.94,8.66,8.01,12.53,744.1,1.24,21.76,Pseudomonas aeruginosa
23.57,8.93,9.08,6.19,376.05,0.54,0.16,Alcaligenes eutrophus
21.1,6.79,8.05,6.53,347.77,2.35,6.21,Bacillus cereus
24.28,6.58,11.61,2.63,323.14,3.65,12.44,Pseudomonas putida
26.1,8.84,9.78,9.33,377.11,1.71,13.41,Pseudomonas aeruginosa
28.18,8.55,7.62,7.75,729.75,1.36,15.83,Pseudomonas aeruginosa
23.72,7.21,6.89,9.54,488.69,2.99,7.05,Bacillus cereus
24.81,6.95,10.09,7.43,273.14,2.88,18.12,Bacillus cereus
23.59,7.26,11.21,5.16,456.6,1.85,31.47,Acinetobacter baumannii
23.99,6.59,10.2,7.76,762.31,0.51,26.59,Acinetobacter baumannii
29.01,7.14,13.06,9.85,386.63,4.63,6.65,Ideonella sakaiensis
21.39,7.22,8.52,2.27,254.92,3.92,14.59,Pseudomonas putida
24.31,7.2,10.25,6.43,263.03,2.36,22.58,Bacillus cereus
25.7,7.21,11.99,3.28,651.51,0.19,24.07,Acinetobacter baumannii
28.23,7.15,6.18,7.26,731.09,1.82,14.85,Pseudomonas aeruginosa
23.4,6.95,13.26,5.97,656.35,1.94,21.0,Acinetobacter baumannii
25.71,7.58,7.46,13.09,547.53,0.17,14.16,Alcaligenes eutrophus
21.7,6.94,8.45,4.09,100.19,3.82,12.66,Pseudomonas putida
26.23,8.28,7.69,13.86,300.16,0.05,10.27,Alcaligenes eutrophus
25.77,7.29,12.31,5.62,721.62,2.45,35.87,Acinetobacter baumannii
21.26,7.82,8.77,4.37,399.26,2.24,5.68,Bacillus cereus
24.16,6.31,9.32,2.55,337.42,3.62,12.83,Pseudomonas putida
24.5,6.83,8.08,5.19,493.88,4.5,7.68,Ideonella sakaiensis
22.1,6.56,9.43,3.72,220.63,3.67,14.85,Pseudomonas putida
24.0,6.65,11.21,5.07,732.58,0.6,34.74,Acinetobacter baumannii
20.73,7.3,10.74,7.3,656.3,0.56,24.51,Acinetobacter baumannii
20.56,7.45,10.48,4.88,769.29,0.81,33.43,Acinetobacter baumannii
22.25,6.05,8.26,4.68,214.2,3.74,12.28,Pseudomonas putida
26.49,7.77,6.62,1.12,483.37,0.32,5.51,Alcaligenes eutrophus
26.98,7.51,5.34,9.78,389.19,0.0,17.27,Pseudomonas aeruginosa
22.39,8.48,6.39,10.41,505.54,0.34,10.99,Alcaligenes eutrophus
28.28,7.01,5.71,2.76,630.6,0.02,8.35,Alcaligenes eutrophus
27.29,6.72,11.28,9.56,363.26,4.62,18.65,Ideonella sakaiensis
21.66,6.89,13.01,5.59,836.43,1.72,25.2,Acinetobacter baumannii
21.21,6.92,11.08,5.35,410.53,4.81,0.74,Ideonella sakaiensis
22.94,8.26,6.53,4.51,162.78,0.16,3.27,Alcaligenes eutrophus
26.69,7.15,9.17,4.12,289.98,4.95,6.37,Ideonella sakaiensis
20.46,7.04,9.52,9.31,243.67,2.31,15.18,Bacillus cereus
26.93,8.89,6.56,4.54,556.52,0.11,7.26,Alcaligenes eutrophus
23.08,6.71,6.03,5.95,476.68,2.53,5.31,Bacillus cereus
23.22,8.39,8.96,13.23,309.52,0.56,10.31,Alcaligenes eutrophus
24.91,6.0,7.71,1.64,325.36,3.68,13.4,Pseudomonas putida
29.45,7.16,5.28,5.31,449.38,1.18,30.0,Pseudomonas aeruginosa
24.28,7.11,8.97,4.39,111.3,3.97,12.83,Pseudomonas putida
24.89,6.88,12.18,3.67,658.63,0.36,34.76,Acinetobacter baumannii
20.37,7.23,8.89,9.12,153.58,2.26,19.15,Bacillus cereus
25.61,7.34,12.96,7.59,709.64,0.78,30.02,Acinetobacter baumannii
22.19,6.3,7.54,1.37,121.72,3.83,14.55,Pseudomonas putida
28.52,8.82,6.88,6.2,648.03,0.47,28.89,Pseudomonas aeruginosa
29.56,8.6,8.39,7.83,422.1,0.33,15.84,Pseudomonas aeruginosa
27.79,7.75,11.72,1.82,467.15,0.87,6.2,Alcaligenes eutrophus
22.51,7.36,11.12,4.55,172.31,3.89,13.73,Pseudomonas putida
24.88,6.8,8.89,6.51,582.97,0.14,23.9,Acinetobacter baumannii
24.7,6.75,7.98,1.39,321.64,3.96,14.83,Pseudomonas putida
21.85,6.88,7.76,2.58,101.04,3.7,12.88,Pseudomonas putida
29.67,7.73,10.16,4.48,415.9,0.11,3.61,Alcaligenes eutrophus
23.27,6.56,10.12,5.63,591.14,2.37,26.59,Acinetobacter baumannii
24.21,6.71,10.03,4.46,379.93,3.53,13.85,Pseudomonas putida
21.07,7.37,11.4,7.51,250.48,4.37,6.48,Ideonella sakaiensis
22.78,7.33,7.41,3.06,227.91,2.94,13.25,Bacillus cereus
28.31,8.14,5.49,5.54,526.89,1.96,27.66,Pseudomonas aeruginosa
26.71,7.44,6.7,12.32,448.05,0.46,21.43,Pseudomonas aeruginosa
23.73,6.75,11.6,2.6,542.38,4.53,2.23,Ideonella sakaiensis
21.41,7.03,8.04,4.5,632.8,2.29,33.14,Acinetobacter baumannii
25.5,7.3,9.36,5.67,410.14,0.05,9.89,Alcaligenes eutrophus
26.7,7.54,6.69,5.84,105.85,0.64,5.43,Alcaligenes eutrophus
29.74,7.04,6.09,7.36,335.16,1.79,12.74,Pseudomonas aeruginosa
22.8,6.58,8.2,9.47,180.6,2.8,9.69,Bacillus cereus
20.67,6.85,6.42,7.77,461.2,2.72,12.77,Bacillus cereus
22.17,6.66,9.43,9.67,154.17,2.45,16.91,Bacillus cereus
20.29,7.41,6.62,8.25,407.92,2.84,8.55,Bacillus cereus
29.51,6.5,13.49,6.69,244.05,4.09,9.7,Ideonella sakaiensis
26.05,7.39,8.89,5.58,527.99,0.89,21.9,Pseudomonas aeruginosa
20.23,6.83,12.11,7.28,906.21,2.05,37.24,Acinetobacter baumannii
23.03,7.32,9.83,3.2,355.24,3.55,12.88,Pseudomonas putida
26.13,6.58,12.79,5.03,579.2,1.2,32.52,Acinetobacter baumannii
27.33,8.91,5.83,13.07,533.17,0.16,12.79,Alcaligenes eutrophus
20.55,7.02,9.26,3.55,126.8,3.72,13.41,Pseudomonas putida
28.78,8.39,5.31,11.49,744.32,0.74,27.76,Pseudomonas aeruginosa
25.89,6.85,8.47,2.52,901.86,0.15,34.21,Acinetobacter baumannii
20.15,7.24,10.48,2.34,707.27,1.97,22.95,Acinetobacter baumannii
25.86,7.21,9.13,8.61,592.56,4.54,2.19,Ideonella sakaiensis
24.72,8.66,11.29,8.4,281.37,0.26,1.55,Alcaligenes eutrophus
20.47,6.67,12.96,7.09,509.03,1.44,34.25,Acinetobacter baumannii
25.5,8.24,6.12,8.2,345.68,0.26,29.76,Pseudomonas aeruginosa
23.77,7.06,10.38,7.21,899.26,1.68,30.65,Acinetobacter baumannii
24.97,7.92,10.57,4.67,322.27,0.84,5.55,Alcaligenes eutrophus
21.82,7.34,12.35,5.37,461.93,4.46,12.39,Ideonella sakaiensis
26.71,7.15,5.35,7.66,390.94,0.51,3.11,Alcaligenes eutrophus
21.5,7.27,10.53,6.98,462.99,2.3,11.23,Bacillus cereus
28.53,8.72,10.56,14.94,228.7,0.2,11.05,Alcaligenes eutrophus
24.09,6.91,8.36,9.04,365.77,2.04,18.6,Bacillus cereus
21.08,7.11,9.31,3.93,333.26,2.2,10.86,Bacillus cereus
21.01,6.91,9.41,6.65,427.14,2.35,8.73,Bacillus cereus
29.2,8.95,7.14,13.07,465.99,0.01,17.38,Pseudomonas aeruginosa
21.09,6.73,8.43,5.63,787.83,0.66,20.47,Acinetobacter baumannii
20.88,8.83,8.82,10.86,429.88,0.11,12.75,Alcaligenes eutrophus
